CountryCode;Year;GDP;GdpGrowth;InflationRate
BRA;2000;3864,92;4,39;7,04
BRA;2001;3256,18;1,39;6,84
BRA;2002;2926,34;3,05;8,45
BRA;2003;3165,20;1,14;14,71
BRA;2004;3750,13;5,76;6,60
BRA;2005;4938,54;3,20;6,87
BRA;2006;6066,96;3,96;4,18
BRA;2007;7572,61;6,07;3,64
BRA;2008;9096,94;5,09;5,68
BRA;2009;8851,06;-0,13;4,89
BRA;2010;11578,70;7,53;5,04
BRA;2011;13631,42;3,97;6,64
BRA;2012;12782,84;1,92;5,40
BRA;2013;12752,26;3,01;6,20
BRA;2014;12601,26;0,50;6,33
BRA;2015;9183,00;-3,55;9,03
BRA;2016;9117,56;-3,28;8,74
BRA;2017;10419,58;1,32;3,45
BRA;2018;9629,60;1,78;3,67
BRA;2019;9010,51;1,22;3,73
BRA;2020;7057,07;-3,28;3,21
BRA;2021;7951,55;4,76;8,30
BRA;2022;9256,48;3,02;9,28
BRA;2023;10267,93;2,91;4,59
BRA;2024;10296,41;3,04;4,27
BRA;2025;10815,51;2,16;3,59
BRA;2026;11422,76;2,25;3,14
BRA;2027;11976,52;2,35;2,98
BRA;2028;12582,88;2,45;2,97
BRA;2029;13222,30;2,47;2,97
RSU;2000;1898,16;10,05;20,80
RSU;2001;2250,20;5,09;21,48
RSU;2002;2546,78;4,74;15,79
RSU;2003;3190,61;7,35;13,66
RSU;2004;4395,83;7,18;10,89
RSU;2005;5697,62;6,38;12,69
RSU;2006;7416,30;8,15;9,67
RSU;2007;9757,47;8,54;9,01
RSU;2008;12463,81;5,25;14,11
RSU;2009;9160,11;-7,82;11,65
RSU;2010;11432,43;4,50;6,85
RSU;2011;14310,23;5,07;8,44
RSU;2012;15284,67;4,02;5,08
RSU;2013;15913,30;1,76;6,75
RSU;2014;13984,47;0,74;7,82
RSU;2015;9231,60;-1,97;15,53
RSU;2016;8689,37;0,19;7,04
RSU;2017;10665,25;1,83;3,68
RSU;2018;11182,63;2,81;2,88
RSU;2019;11465,34;2,20;4,47
RSU;2020;10074,73;-2,65;3,38
RSU;2021;12519,74;5,87;6,69
RSU;2022;15471,59;-1,25;13,75
RSU;2023;13738,70;3,65;5,86
